count,decade,language,EMA,pandas_SMA_3
588,1500,Latin,588.0,
733,1510,Latin,595.0731707317073,
762,1520,Latin,603.2159428911361,1510.0
790,1530,Latin,612.3273603110806,1520.0
876,1540,Latin,625.1894402959059,1530.0
1092,1550,Latin,647.9606871107397,1540.0
817,1560,Latin,656.2065072516792,1550.0
793,1570,Latin,662.8793605564754,1560.0
856,1580,Latin,672.2998795537204,1570.0
769,1590,Latin,677.0169585998804,1580.0
870,1600,Latin,686.430765497447,1590.0
1039,1610,Latin,703.6292647414739,1600.0
711,1620,Latin,703.9888128028654,1610.0
708,1630,Latin,704.1844804710182,1620.0
601,1640,Latin,699.1510911797491,1630.0
667,1650,Latin,697.5827452685418,1640.0
757,1660,Latin,700.481147938369,1650.0
942,1670,Latin,712.2625553560096,1660.0
1305,1680,Latin,741.1765770459602,1670.0
1148,1690,Latin,761.0216220681085,1680.0
1169,1700,Latin,780.923006357469,1690.0
1310,1710,Latin,806.73164019369,1700.0
1253,1720,Latin,828.5008284769247,1710.0
1312,1730,Latin,852.0861539170746,1720.0
1494,1740,Latin,883.3990244577051,1730.0
1905,1750,Latin,933.2332183865974,1740.0
1696,1760,Latin,970.441354075056,1750.0
2028,1770,Latin,1022.0295807055411,1760.0
2372,1780,Latin,1087.8817962808805,1770.0
3218,1790,Latin,1191.7900013403498,1780.0
21,1500,Dutch,21.0,
27,1510,Dutch,21.29268292682927,
35,1520,Dutch,21.961332540154668,1510.0
24,1530,Dutch,22.060779733317855,1520.0
23,1540,Dutch,22.106595356082835,1530.0
97,1550,Dutch,25.75993216798123,1540.0
72,1560,Dutch,28.015545232957752,1550.0
204,1570,Dutch,36.600152782569566,1560.0
245,1580,Dutch,46.76599898829788,1570.0
146,1590,Dutch,51.606681964478476,1580.0
374,1600,Dutch,67.33318528328441,1590.0
373,1610,Dutch,82.24376161092906,1600.0
242,1620,Dutch,90.03674884942032,1610.0
164,1630,Dutch,93.6447123201803,1620.0
355,1640,Dutch,106.39375074358614,1630.0
539,1650,Dutch,127.49649460975267,1640.0
701,1660,Dutch,155.47227536049644,1650.0
411,1670,Dutch,167.937042416082,1660.0
490,1680,Dutch,183.64743059090725,1670.0
214,1690,Dutch,185.1280437328142,1680.0
347,1700,Dutch,193.0242367214574,1690.0
136,1710,Dutch,190.24256663748386,1700.0
135,1720,Dutch,187.5478072893139,1710.0
101,1730,Dutch,183.32596303129858,1720.0
174,1740,Dutch,182.8710380053816,1730.0
150,1750,Dutch,181.2675727368264,1740.0
201,1760,Dutch,182.2301301642983,1750.0
187,1770,Dutch,182.4628067416496,1760.0
287,1780,Dutch,187.56218202254473,1770.0
264,1790,Dutch,191.29085607022546,1780.0
48,1500,German,48.0,
121,1510,German,51.5609756097561,
1453,1520,German,119.92385484830459,1510.0
348,1530,German,131.04952046546046,1520.0
479,1540,German,148.02271458909652,1530.0
491,1550,German,164.7533138774333,1540.0
340,1560,German,173.30193271268047,1550.0
316,1570,German,180.2628140437692,1560.0
393,1580,German,190.64023774895117,1570.0
380,1590,German,199.87729932217306,1580.0
257,1600,German,202.66377252596948,1590.0
261,1610,German,205.509442158849,1600.0
199,1620,German,205.1919083950027,1610.0
169,1630,German,203.426449448905,1620.0
170,1640,German,201.7958909392023,1630.0
166,1650,German,200.0497499177778,1640.0
210,1660,German,200.53512797056914,1650.0
229,1670,German,201.9236583134682,1660.0
248,1680,German,204.17128473720143,1670.0
359,1690,German,211.7239049939233,1680.0
440,1700,German,222.8593242625124,1690.0
395,1710,German,231.25643039604836,1700.0
427,1720,German,240.80489720599724,1710.0
577,1730,German,257.20465831789977,1720.0
841,1740,German,285.68247986336803,1730.0
815,1750,German,311.5028466993013,1740.0
825,1760,German,336.5514883237256,1750.0
1548,1770,German,395.64653767378775,1760.0
2487,1780,German,497.663779738481,1770.0
2469,1790,German,593.8265221902625,1780.0
269,1500,English,269.0,
277,1510,English,269.390243902439,
1307,1520,English,320.00535395597853,1510.0
738,1530,English,340.39533668983324,1520.0
978,1540,English,371.4980031927682,1530.0
906,1550,English,397.5712713297063,1540.0
844,1560,English,419.34828248435474,1550.0
1040,1570,English,449.6239760217033,1560.0
1748,1580,English,512.9593918255226,1570.0
1630,1590,English,567.4491775901313,1580.0
2308,1600,English,652.3540957564663,1590.0
2532,1610,English,744.0441398659069,1600.0
4305,1620,English,917.749303774887,1610.0
3282,1630,English,1033.0786060297705,1620.0
37849,1640,English,2828.9772106136843,1630.0
8047,1650,English,3083.514907656919,1640.0
7430,1660,English,3295.538570698045,1650.0
4162,1670,English,3337.804981883506,1660.0
9213,1680,English,3624.3998608160177,1670.0
6510,1690,English,3765.160843215236,1680.0
7383,1700,English,3941.6408020827853,1690.0
7944,1710,English,4136.877836127527,1700.0
6704,1720,English,4262.10330753594,1710.0
6559,1730,English,4374.147048631748,1720.0
6877,1740,English,4496.23743650337,1730.0
8872,1750,English,4709.68926886906,1740.0
10251,1760,English,4979.997109412032,1750.0
9993,1770,English,5224.5338357821765,1760.0
12636,1780,English,5586.06877062207,1770.0
17805,1790,English,6182.114196445384,1780.0
670,1500,French,670.0,
101,1510,French,642.2439024390243,
126,1520,French,617.0612730517547,1510.0
186,1530,French,596.0338938784984,1520.0
239,1540,French,578.6176063722301,1530.0
515,1550,French,575.5143085004139,1540.0
1149,1560,French,603.4892202808815,1550.0
775,1570,French,611.855599779375,1560.0
1174,1580,French,639.2772778389176,1570.0
822,1590,French,648.1905813589703,1580.0
1091,1600,French,669.7910408048742,1590.0
2916,1610,French,779.3622095460998,1600.0
2321,1620,French,854.5640529828754,1610.0
1402,1630,French,881.2682455202961,1620.0
1606,1640,French,916.6210140315012,1630.0
1333,1650,French,936.932184078745,1640.0
1421,1660,French,960.5452482700257,1650.0
1054,1670,French,965.1040166470975,1660.0
1559,1680,French,994.0745524204098,1670.0
1538,1690,French,1020.6075010828288,1680.0
2359,1700,French,1085.8949400543981,1690.0
2462,1710,French,1153.0220161493055,1700.0
4338,1720,French,1308.3867958493393,1710.0
2772,1730,French,1379.782561905469,1720.0
2060,1740,French,1412.9639003491047,1730.0
2423,1750,French,1462.2339539906118,1740.0
3135,1760,French,1543.8322976983868,1750.0
6237,1770,French,1772.767307566758,1760.0
13664,1780,French,2352.8274389049648,1770.0
34317,1790,French,3912.0553687144784,1780.0
19,1500,Spanish,19.0,
34,1510,Spanish,19.73170731707317,
44,1520,Spanish,20.915526472337895,1510.0
39,1530,Spanish,21.797695912711657,1520.0
90,1540,Spanish,25.12463757550621,1530.0
164,1550,Spanish,31.899045498652246,1540.0
73,1560,Spanish,33.903970108474084,1550.0
97,1570,Spanish,36.98182522513389,1560.0
187,1580,Spanish,44.29978497024931,1570.0
216,1590,Spanish,52.67540521560301,1580.0
232,1600,Spanish,61.42294642459798,1590.0
241,1610,Spanish,70.18280269656881,1600.0
352,1620,Spanish,83.92998305283375,1610.0
222,1630,Spanish,90.6651058307443,1620.0
163,1640,Spanish,94.19363725363482,1630.0
165,1650,Spanish,97.64760616809166,1640.0
303,1660,Spanish,107.66479611111157,1650.0
243,1670,Spanish,114.26651337398418,1660.0
237,1680,Spanish,120.2535127215947,1670.0
165,1690,Spanish,122.43626819859007,1680.0
253,1700,Spanish,128.80523072548812,1690.0
150,1710,Spanish,129.83912190961064,1700.0
310,1720,Spanish,138.627457426215,1710.0
297,1730,Spanish,146.35294730786305,1720.0
363,1740,Spanish,156.9210962196746,1730.0
335,1750,Spanish,165.6078720138368,1740.0
718,1760,Spanish,192.55382947657648,1750.0
1302,1770,Spanish,246.67315486796298,1760.0
1644,1780,Spanish,314.83543999635503,1770.0
1367,1790,Spanish,366.16054048433773,1780.0
75,1500,Italian,75.0,
95,1510,Italian,75.97560975609757,
134,1520,Italian,78.80606781677572,1510.0
115,1530,Italian,80.57162548425008,1520.0
275,1540,Italian,90.05593643623789,1530.0
341,1550,Italian,102.29711026861652,1540.0
366,1560,Italian,115.16066586526938,1550.0
250,1570,Italian,121.73819435964649,1560.0
454,1580,Italian,137.9460873177125,1570.0
195,1590,Italian,140.7292050095314,1580.0
247,1600,Italian,145.91314622857865,1590.0
166,1610,Italian,146.89299275401382,1600.0
169,1620,Italian,147.971383351379,1610.0
179,1630,Italian,149.48497440740925,1620.0
220,1640,Italian,152.92473175338927,1630.0
259,1650,Italian,158.0991350824922,1640.0
294,1660,Italian,164.72844556627308,1650.0
315,1670,Italian,172.05876529474756,1660.0
330,1680,Italian,179.7632157681745,1670.0
230,1690,Italian,182.21379060875134,1680.0
266,1700,Italian,186.30092277417808,1690.0
149,1710,Italian,184.48136556568159,1700.0
168,1720,Italian,183.6773965136971,1710.0
242,1730,Italian,186.52240156180943,1720.0
237,1740,Italian,188.9847234368431,1730.0
303,1750,Italian,194.54644424480196,1740.0
260,1760,Italian,197.7393006231043,1750.0
245,1770,Italian,200.04470059270895,1760.0
479,1780,Italian,213.65227617355242,1770.0
359,1790,Italian,220.7424090431352,1780.0
